date,brand,product_type,skin_type,hair_type,country,sales_channel,units_sold,unit_price_usd,cost_usd,discount_pct,marketing_spend_usd,on_promotion,customer_rating,returns_units,stock_level,revenue_usd,profit_usd
2022-02-15,Lux,Face Cream,Combination,Straight,Mexico,Pharmacy,1598,16.38,2.25,11.0,790.6,0,4.39,127,5621,26175.24,21789.14
2022-02-16,Rexona,Hair Mask,Combination,Curly,Argentina,Pharmacy,1493,5.15,7.31,1.66,5265.66,1,3.62,9,4373,7688.95,-8490.54
2022-02-17,Sedal,Face Cream,Dry,Straight,Argentina,Supermarket,3459,5.54,1.7,24.19,4679.77,0,3.38,40,14895,19162.86,8602.79
2022-02-18,Dove,Face Cream,Sensitive,Wavy,Brazil,Wholesale,239,12.74,3.23,15.1,1575.37,0,4.08,86,22985,3044.86,697.52
2022-02-19,Axe,Body Wash,Oily,Straight,Brazil,Wholesale,647,7.97,3.59,30.22,5140.38,0,3.52,146,12971,5156.59,-2306.52
2022-02-20,TRESemmé,Conditioner,Combination,Curly,Brazil,Online,364,10.83,7.68,26.41,4805.9,0,3.95,119,10183,3942.12,-3659.3
2022-02-21,Dove,Deodorant,Dry,Straight,Colombia,Online,435,5.31,2.37,2.72,566.97,0,3.64,39,18706,2309.85,711.93
2022-02-22,Axe,Conditioner,Normal,Wavy,Argentina,Wholesale,410,17.22,5.85,29.31,3228.24,1,3.24,57,4216,7060.2,1433.46
2022-02-23,TRESemmé,Deodorant,Oily,Curly,Chile,Online,3150,3.49,4.47,3.83,4385.01,1,4.49,67,21180,10993.5,-7472.01
2022-02-24,Sedal,Body Wash,Sensitive,Curly,Argentina,Online,4340,3.06,5.53,30.19,2074.74,1,3.38,46,2155,13280.4,-12794.54
2022-02-25,Rexona,Shampoo,Normal,Coily,Brazil,Supermarket,405,15.05,2.15,12.17,429.95,1,3.83,121,15343,6095.25,4794.55
2022-02-26,Sedal,Hair Mask,Oily,Curly,Colombia,Pharmacy,606,16.81,8.61,22.78,3649.54,1,3.64,112,8081,10186.86,1319.66
2022-02-27,Sedal,Hair Mask,Sensitive,Straight,Argentina,Supermarket,5372,6.87,4.4,15.94,3939.86,1,3.88,78,5672,36905.64,9328.98
2022-02-28,Sedal,Face Cream,Oily,Curly,Chile,Pharmacy,1212,8.05,2.64,26.36,1794.36,0,3.41,44,22691,9756.6,4762.56
2022-03-01,Rexona,Hair Mask,Dry,Curly,Brazil,Wholesale,3689,16.32,2.56,32.23,4194.95,0,4.22,69,12466,60204.48,46565.69
2022-03-02,Sedal,Hair Mask,Normal,Curly,Colombia,Online,844,6.88,6.98,27.21,6049.28,1,4.36,125,19741,5806.72,-6133.68
2022-03-03,Sedal,Shampoo,Normal,Wavy,Mexico,Supermarket,2468,12.1,8.51,3.46,4147.28,0,3.64,15,22516,29862.8,4712.84
2022-03-04,TRESemmé,Conditioner,Dry,Curly,Brazil,Online,2173,3.95,1.47,32.12,1686.95,1,4.52,43,7245,8583.35,3702.09
2022-03-05,Sedal,Deodorant,Normal,Coily,Brazil,Pharmacy,1227,15.44,4.82,5.04,1858.01,1,3.59,105,1506,18944.88,11172.73
2022-03-06,Rexona,Deodorant,Oily,Curly,Mexico,Online,5731,9.34,8.2,27.09,3995.92,1,4.96,75,671,53527.54,2537.42
2022-03-07,Sedal,Conditioner,Combination,Curly,Chile,Pharmacy,5211,9.24,3.46,8.69,5204.62,1,3.27,82,21302,48149.64,24914.96
2022-03-08,Rexona,Hair Mask,Combination,Wavy,Brazil,Wholesale,1680,9.2,5.05,5.16,4683.77,0,4.51,120,22638,15456.0,2288.23
2022-03-09,Axe,Body Wash,Sensitive,Coily,Argentina,Online,4715,7.56,4.03,28.86,930.15,0,4.73,114,15151,35645.4,15713.8
2022-03-10,Rexona,Face Cream,Combination,Curly,Colombia,Pharmacy,3939,9.8,8.11,28.21,3314.89,1,3.48,60,12941,38602.2,3342.02
2022-03-11,Axe,Conditioner,Sensitive,Coily,Brazil,Supermarket,2265,16.88,8.58,29.75,2664.13,1,4.56,76,1037,38233.2,16135.37
2022-03-12,Rexona,Hair Mask,Oily,Straight,Argentina,Pharmacy,3192,14.21,3.15,20.07,4279.51,0,3.47,87,8340,45358.32,31024.01
2022-03-13,Lux,Hair Mask,Oily,Straight,Chile,Online,3895,6.93,5.38,6.94,5451.9,1,3.86,34,21660,26992.35,585.35
2022-03-14,Sedal,Body Wash,Sensitive,Coily,Chile,Pharmacy,1661,6.53,8.4,14.59,4435.05,1,4.2,20,20677,10846.33,-7541.12
2022-03-15,Lux,Hair Mask,Combination,Coily,Brazil,Pharmacy,1157,16.85,5.49,34.29,2795.95,0,3.75,36,20357,19495.45,10347.57
2022-03-16,Lux,Conditioner,Normal,Wavy,Argentina,Wholesale,1037,13.78,8.36,8.06,3442.59,1,4.82,79,6336,14289.86,2177.95
2022-03-17,Axe,Face Cream,Normal,Wavy,Chile,Online,3912,17.28,8.42,12.7,1994.48,0,3.57,149,18516,67599.36,32665.84
2022-03-18,Sedal,Deodorant,Dry,Straight,Argentina,Pharmacy,3170,13.61,2.97,4.61,841.03,1,4.19,28,19961,43143.7,32887.77
2022-03-19,Sedal,Deodorant,Normal,Coily,Colombia,Supermarket,2528,16.27,5.74,34.98,4937.85,1,4.4,78,6492,41130.56,21681.99
2022-03-20,Lux,Hair Mask,Sensitive,Coily,Argentina,Online,855,6.53,6.51,18.83,2296.23,0,4.98,143,3428,5583.15,-2279.13
2022-03-21,Dove,Face Cream,Combination,Wavy,Mexico,Online,1972,11.75,1.71,24.14,5097.55,1,4.84,96,17228,23171.0,14701.33
2022-03-22,TRESemmé,Deodorant,Oily,Curly,Argentina,Online,2043,3.71,1.36,26.48,3104.28,1,4.85,19,2647,7579.53,1696.77
2022-03-23,Axe,Body Wash,Normal,Curly,Colombia,Online,4252,13.46,8.03,25.05,2885.37,1,4.77,105,18339,57231.92,20202.99
2022-03-24,Sedal,Body Wash,Combination,Coily,Colombia,Wholesale,5307,13.8,3.56,28.19,3399.26,0,4.5,144,12258,73236.6,50944.42
2022-03-25,Rexona,Hair Mask,Oily,Straight,Argentina,Supermarket,4476,7.12,4.42,9.01,4143.25,0,4.2,51,8504,31869.12,7941.95
2022-03-26,Rexona,Shampoo,Combination,Straight,Argentina,Wholesale,2390,6.53,8.63,5.57,2621.48,0,3.58,123,18416,15606.7,-7640.48
2022-03-27,TRESemmé,Hair Mask,Normal,Curly,Chile,Pharmacy,4943,2.66,7.61,17.97,3803.93,0,3.79,123,13040,13148.38,-28271.78
2022-03-28,Sedal,Hair Mask,Normal,Straight,Colombia,Pharmacy,468,7.79,8.01,10.95,2468.93,1,3.2,108,2202,3645.72,-2571.89
2022-03-29,TRESemmé,Body Wash,Normal,Curly,Argentina,Online,2612,11.21,6.58,5.17,4912.03,1,3.74,144,3898,29280.52,7181.53
2022-03-30,TRESemmé,Face Cream,Combination,Wavy,Colombia,Wholesale,5808,3.96,3.7,4.46,3954.36,0,3.48,39,6743,22999.68,-2444.28
2022-03-31,Axe,Shampoo,Sensitive,Wavy,Chile,Online,2461,17.48,6.44,1.98,2669.09,1,3.8,21,16652,43018.28,24500.35
2022-04-01,TRESemmé,Hair Mask,Oily,Curly,Brazil,Online,1721,13.27,3.33,5.05,5801.4,1,3.68,4,12315,22837.67,11305.34
2022-04-02,Sedal,Deodorant,Dry,Wavy,Colombia,Pharmacy,5390,5.49,3.62,33.71,4511.07,1,3.45,144,21523,29591.1,5568.23
2022-04-03,Sedal,Shampoo,Normal,Straight,Brazil,Supermarket,2040,11.63,2.26,29.61,6060.16,0,4.37,75,23638,23725.2,13054.64
2022-04-04,Dove,Conditioner,Oily,Wavy,Colombia,Online,5109,10.69,1.44,1.84,1577.59,1,3.25,8,11752,54615.21,45680.66
2022-04-05,TRESemmé,Conditioner,Combination,Straight,Argentina,Pharmacy,1381,5.11,6.32,7.29,4128.0,0,3.86,64,13341,7056.91,-5799.01
2022-04-06,Sedal,Hair Mask,Normal,Curly,Argentina,Wholesale,1825,10.75,7.67,22.23,987.67,1,3.64,75,18634,19618.75,4633.33
2022-04-07,Dove,Deodorant,Combination,Wavy,Colombia,Wholesale,667,8.83,8.0,3.12,6149.57,0,3.46,35,16328,5889.61,-5595.96
2022-04-08,Lux,Body Wash,Combination,Curly,Mexico,Online,4068,4.04,4.98,3.46,4314.91,0,4.12,100,10270,16434.72,-8138.83
2022-04-09,Lux,Hair Mask,Dry,Curly,Chile,Pharmacy,5544,9.42,6.84,24.21,3504.5,1,4.69,81,20253,52224.48,10799.02
2022-04-10,Sedal,Shampoo,Combination,Coily,Brazil,Pharmacy,3651,9.52,1.83,16.57,1487.66,0,4.13,123,5383,34757.52,26588.53
2022-04-11,Axe,Deodorant,Normal,Straight,Brazil,Wholesale,1448,16.52,8.05,23.59,5873.53,1,4.13,142,19742,23920.96,6391.03
2022-04-12,Lux,Face Cream,Oily,Coily,Argentina,Supermarket,4918,15.84,9.29,25.14,5273.62,1,3.92,136,22321,77901.12,26939.28
2022-04-13,Sedal,Shampoo,Combination,Curly,Mexico,Supermarket,2696,17.5,4.83,11.91,4104.58,0,3.41,67,5884,47180.0,30053.74
2022-04-14,Axe,Deodorant,Oily,Coily,Argentina,Supermarket,3431,12.3,2.23,23.99,6228.83,0,4.34,141,2270,42201.3,28321.34
2022-04-15,TRESemmé,Conditioner,Normal,Wavy,Argentina,Supermarket,1213,9.54,3.88,15.01,335.36,1,4.94,9,15655,11572.02,6530.22
2022-04-16,TRESemmé,Conditioner,Dry,Curly,Argentina,Wholesale,5461,11.6,7.3,0.21,2009.06,1,3.54,107,15110,63347.6,21473.24
2022-04-17,Axe,Hair Mask,Combination,Straight,Chile,Supermarket,4703,2.63,1.76,8.12,2161.28,1,4.1,149,17555,12368.89,1930.33
2022-04-18,Dove,Shampoo,Sensitive,Coily,Chile,Wholesale,5174,6.17,2.18,9.16,3935.69,0,3.54,35,23379,31923.58,16708.57
2022-04-19,Axe,Body Wash,Sensitive,Straight,Mexico,Online,2519,16.61,9.14,22.8,6083.79,0,4.34,1,20351,41840.59,12733.14
2022-04-20,Axe,Hair Mask,Dry,Wavy,Colombia,Online,4649,3.62,4.97,30.52,237.9,0,3.7,124,19918,16829.38,-6514.05
2022-04-21,TRESemmé,Hair Mask,Normal,Coily,Colombia,Pharmacy,835,2.88,5.84,15.02,3907.54,0,3.31,2,11413,2404.8,-6379.14
2022-04-22,Sedal,Shampoo,Combination,Wavy,Mexico,Online,5368,5.23,2.82,28.1,6118.65,1,3.28,96,5012,28074.64,6818.23
2022-04-23,Rexona,Conditioner,Sensitive,Curly,Mexico,Pharmacy,3722,14.83,5.23,24.74,1850.12,1,4.97,15,8998,55197.26,33881.08
2022-04-24,Lux,Shampoo,Normal,Straight,Chile,Supermarket,4143,11.31,5.27,26.36,6025.91,0,4.31,50,9308,46857.33,18997.81
2022-04-25,Axe,Body Wash,Dry,Wavy,Colombia,Pharmacy,413,16.72,6.53,28.69,6485.91,1,3.76,3,16206,6905.36,-2277.44
2022-04-26,TRESemmé,Shampoo,Oily,Curly,Argentina,Pharmacy,1814,16.4,4.1,6.61,2791.46,1,4.1,32,3890,29749.6,19520.74
2022-04-27,TRESemmé,Hair Mask,Combination,Straight,Brazil,Supermarket,3221,10.77,5.95,4.73,2064.62,1,4.15,105,3209,34690.17,13460.6
2022-04-28,Rexona,Deodorant,Normal,Curly,Mexico,Supermarket,1331,10.03,7.73,30.8,5551.57,0,3.37,144,21964,13349.93,-2490.27
2022-04-29,Rexona,Hair Mask,Sensitive,Straight,Mexico,Supermarket,4227,4.84,8.16,23.66,3991.35,1,4.9,86,16387,20458.68,-18024.99
2022-04-30,Axe,Hair Mask,Combination,Coily,Colombia,Wholesale,4363,15.02,2.12,8.37,6126.06,1,4.97,30,9125,65532.26,50156.64
2022-05-01,Lux,Face Cream,Oily,Straight,Mexico,Supermarket,5558,13.41,2.42,27.03,3747.17,0,3.95,54,510,74532.78,57335.25
2022-05-02,Dove,Body Wash,Sensitive,Straight,Colombia,Pharmacy,254,2.89,7.2,25.42,6232.29,1,3.48,134,12326,734.06,-7327.03
2022-05-03,TRESemmé,Deodorant,Combination,Coily,Chile,Wholesale,4011,12.92,6.29,0.29,1809.35,0,4.62,36,2888,51822.12,24783.58
2022-05-04,Lux,Conditioner,Oily,Straight,Colombia,Pharmacy,2351,3.94,1.57,21.61,1310.74,0,3.52,38,10232,9262.94,4261.13
2022-05-05,TRESemmé,Deodorant,Sensitive,Coily,Mexico,Supermarket,1220,7.61,7.65,16.69,6455.12,1,3.64,48,11383,9284.2,-6503.92
2022-05-06,Dove,Body Wash,Dry,Curly,Mexico,Supermarket,4189,7.65,6.69,12.15,1148.67,1,4.6,19,20948,32045.85,2872.77
2022-05-07,Lux,Hair Mask,Oily,Coily,Brazil,Supermarket,5352,11.43,5.89,31.71,4805.53,1,4.38,17,21863,61173.36,24844.55
2022-05-08,Sedal,Deodorant,Sensitive,Curly,Chile,Supermarket,3024,3.76,2.35,32.85,6411.73,1,3.84,100,17646,11370.24,-2147.89
2022-05-09,Lux,Body Wash,Oily,Coily,Colombia,Wholesale,1161,4.96,6.01,8.73,455.79,1,3.32,15,16877,5758.56,-1674.84
2022-05-10,TRESemmé,Shampoo,Combination,Coily,Chile,Online,5632,7.96,1.22,31.58,4376.16,1,4.54,95,22737,44830.72,33583.52
2022-05-11,Rexona,Conditioner,Dry,Wavy,Colombia,Wholesale,574,11.57,2.44,1.97,1955.39,0,4.32,113,16848,6641.18,3285.23
2022-05-12,Axe,Face Cream,Sensitive,Straight,Brazil,Wholesale,2132,13.33,7.59,33.9,1799.06,1,4.2,126,17312,28419.56,10438.62
2022-05-13,Lux,Shampoo,Combination,Straight,Mexico,Pharmacy,2352,6.59,7.64,33.77,2230.61,1,3.71,132,8155,15499.68,-4700.21
2022-05-14,Rexona,Deodorant,Sensitive,Coily,Colombia,Supermarket,721,2.5,7.12,19.26,2313.49,1,3.72,80,19322,1802.5,-5644.51
2022-05-15,Axe,Deodorant,Sensitive,Curly,Colombia,Online,5780,11.07,2.19,5.29,3131.75,0,4.04,59,4555,63984.6,48194.65
2022-05-16,Rexona,Body Wash,Sensitive,Curly,Chile,Pharmacy,4184,4.07,2.23,9.04,2103.37,1,3.86,26,10539,17028.88,5595.19
2022-05-17,TRESemmé,Hair Mask,Normal,Wavy,Mexico,Online,1057,9.6,1.8,31.44,2243.74,1,4.39,122,3181,10147.2,6000.86
2022-05-18,Rexona,Shampoo,Combination,Curly,Brazil,Supermarket,3489,11.48,2.0,23.72,2800.56,1,4.27,88,6735,40053.72,30275.16
2022-05-19,Dove,Deodorant,Oily,Coily,Argentina,Online,1807,15.49,6.63,12.87,5447.69,0,4.33,125,12525,27990.43,10562.33
2022-05-20,TRESemmé,Body Wash,Oily,Straight,Colombia,Pharmacy,109,14.64,2.93,31.61,6057.33,0,4.74,105,17598,1595.76,-4780.94
2022-05-21,Axe,Conditioner,Oily,Curly,Mexico,Supermarket,2805,5.37,1.34,8.74,4424.61,1,3.57,85,21842,15062.85,6879.54
2022-05-22,Rexona,Hair Mask,Normal,Wavy,Brazil,Wholesale,5357,5.79,6.71,11.3,432.53,0,4.4,30,5837,31017.03,-5360.97
2022-05-23,Axe,Face Cream,Sensitive,Coily,Mexico,Wholesale,5069,16.18,4.64,0.21,5788.6,0,4.8,32,21938,82016.42,52707.66
2022-05-24,TRESemmé,Deodorant,Sensitive,Curly,Argentina,Online,5034,13.72,8.38,32.21,4925.57,1,4.65,127,2577,69066.48,21955.99
2022-05-25,Sedal,Deodorant,Oily,Wavy,Mexico,Wholesale,2199,15.72,7.46,0.3,3907.09,1,4.09,103,7965,34568.28,14256.65
2022-05-26,TRESemmé,Deodorant,Normal,Wavy,Brazil,Supermarket,2091,10.89,4.13,5.55,5206.14,1,3.86,38,3251,22770.99,8929.02
2022-05-27,Rexona,Body Wash,Dry,Coily,Colombia,Online,2424,5.61,6.92,28.0,790.08,0,4.84,9,4567,13598.64,-3965.52
2022-05-28,Sedal,Shampoo,Oily,Curly,Mexico,Supermarket,1411,7.13,8.22,8.67,5498.49,1,4.42,46,14242,10060.43,-7036.48
2022-05-29,Dove,Body Wash,Dry,Coily,Argentina,Pharmacy,4471,17.38,2.88,28.04,6089.23,1,3.69,127,18280,77705.98,58740.27
2022-05-30,Rexona,Conditioner,Sensitive,Coily,Chile,Online,3269,16.46,6.32,23.89,759.76,0,4.31,121,5307,53807.74,32387.9
2022-05-31,Axe,Body Wash,Sensitive,Straight,Colombia,Wholesale,1564,13.94,7.94,15.3,6499.73,1,3.22,93,4122,21802.16,2884.27
2022-06-01,Axe,Deodorant,Normal,Curly,Mexico,Pharmacy,1261,13.86,9.12,33.01,6043.72,0,3.93,111,687,17477.46,-66.58
2022-06-02,Sedal,Body Wash,Dry,Straight,Colombia,Pharmacy,396,6.75,7.06,24.11,3639.12,0,4.84,9,6342,2673.0,-3761.88
2022-06-03,TRESemmé,Body Wash,Combination,Coily,Chile,Wholesale,195,8.95,8.96,30.79,1902.96,1,4.37,129,17900,1745.25,-1904.91
2022-06-04,Dove,Hair Mask,Combination,Coily,Mexico,Supermarket,4808,6.38,5.71,5.73,1515.24,1,4.45,0,4950,30675.04,1706.12
2022-06-05,Sedal,Deodorant,Oily,Coily,Argentina,Supermarket,4691,10.93,5.94,26.82,606.85,1,4.5,88,23909,51272.63,22801.24
2022-06-06,Rexona,Conditioner,Sensitive,Wavy,Chile,Online,998,2.75,4.75,8.29,4191.82,1,3.23,45,21876,2744.5,-6187.82
2022-06-07,TRESemmé,Hair Mask,Sensitive,Curly,Chile,Online,5615,14.83,7.95,21.24,462.59,0,4.04,138,12669,83270.45,38168.61
2022-06-08,TRESemmé,Deodorant,Normal,Coily,Colombia,Online,1085,4.17,8.91,33.62,3820.35,1,4.5,44,19594,4524.45,-8963.25
2022-06-09,Axe,Hair Mask,Combination,Curly,Argentina,Wholesale,4618,13.06,5.67,0.14,773.47,1,3.48,41,17529,60311.08,33353.55
2022-06-10,TRESemmé,Face Cream,Normal,Curly,Mexico,Pharmacy,5698,10.96,2.04,0.27,5303.14,1,3.91,96,12826,62450.08,45523.02
2022-06-11,Axe,Hair Mask,Sensitive,Curly,Chile,Wholesale,1484,15.96,2.86,24.96,3039.02,0,4.24,5,6019,23684.64,16401.38
2022-06-12,Lux,Shampoo,Sensitive,Curly,Mexico,Wholesale,5241,6.69,6.72,30.05,6282.67,1,3.87,120,18556,35062.29,-6439.9
2022-06-13,Rexona,Body Wash,Dry,Wavy,Brazil,Wholesale,1560,8.38,5.13,25.16,3006.43,0,3.86,42,1664,13072.8,2063.57
2022-06-14,Sedal,Deodorant,Dry,Coily,Argentina,Wholesale,4424,2.86,2.11,33.27,483.48,1,4.03,53,22152,12652.64,2834.52
2022-06-15,Sedal,Conditioner,Oily,Wavy,Chile,Pharmacy,2300,7.0,8.46,16.73,6081.87,0,4.43,70,11419,16100.0,-9439.87
2022-06-16,Lux,Body Wash,Sensitive,Coily,Argentina,Pharmacy,3449,4.89,2.84,4.78,2476.43,0,3.27,37,4954,16865.61,4594.02
2022-06-17,TRESemmé,Shampoo,Normal,Straight,Brazil,Supermarket,5502,9.92,9.09,6.64,1712.9,1,4.52,89,6822,54579.84,2853.76
2022-06-18,Dove,Deodorant,Sensitive,Straight,Brazil,Wholesale,1999,15.36,4.65,11.07,4423.01,0,3.39,132,24275,30704.64,16986.28
2022-06-19,Axe,Conditioner,Combination,Straight,Brazil,Pharmacy,4057,5.14,2.32,2.16,3040.8,0,3.94,60,1625,20852.98,8399.94
2022-06-20,Sedal,Face Cream,Sensitive,Curly,Argentina,Pharmacy,5768,11.44,7.05,28.57,5513.24,1,4.65,43,11879,65985.92,19808.28
2022-06-21,Axe,Deodorant,Combination,Curly,Brazil,Supermarket,5597,4.69,8.79,12.79,5196.04,0,4.76,129,8818,26249.93,-28143.74
2022-06-22,Dove,Face Cream,Oily,Straight,Chile,Wholesale,2705,3.91,3.28,18.74,1104.02,1,3.89,109,1268,10576.55,600.13
2022-06-23,Axe,Shampoo,Dry,Coily,Brazil,Online,4044,14.99,3.77,8.63,1985.85,1,3.75,17,23599,60619.56,43387.83
2022-06-24,Rexona,Face Cream,Normal,Straight,Mexico,Supermarket,326,15.17,4.29,31.61,5436.91,1,4.73,45,22494,4945.42,-1890.03
2022-06-25,Axe,Body Wash,Dry,Curly,Mexico,Pharmacy,3979,15.59,8.78,22.34,1226.65,0,4.93,113,16512,62032.61,25870.34
